transaction_id,timestamp,amount,payment_method,card_age_days,card_expiry_days,retry_count,customer_tenure_days,customer_past_success_rate,gateway_response_time_ms,gateway_status,issuer_response_time_ms,issuer_status,response_code,risk_score,available_balance_ratio,transaction_limit,otp_attempts,cvv_match,root_cause,recovered
TXN100000,2026-01-07 03:34:03,10594.23,debit_card,2022,1197,0,2004,0.77,380,operational,11641,down,AUTH_FAILURE,0.239,0.682,4493.33,1,0,issuer_bank_down,1
TXN100001,2026-05-10 17:32:47,650.27,credit_card,2199,692,1,2145,0.533,4339,degraded,171,operational,BANK_TIMEOUT,0.077,0.645,2533.08,1,1,bank_server_timeout,1
TXN100002,2026-02-08 12:17:57,2523.76,credit_card,792,282,0,1673,0.92,332,operational,267,operational,LIMIT_FAILURE,0.246,0.401,1996.06,0,1,transaction_limit_exceeded,0
TXN100003,2026-05-09 00:32:49,1392.43,credit_card,249,1034,0,1238,0.902,312,operational,6429,down,ISSUER_DOWN,0.139,0.222,10869.55,1,1,issuer_bank_down,1
TXN100004,2026-04-12 14:59:24,1170.18,credit_card,264,922,0,781,0.584,349,operational,194,operational,INSUFFICIENT_FUNDS,0.021,0.053,11554.86,0,1,insufficient_funds,0
TXN100005,2026-02-06 11:38:33,3865.48,credit_card,968,498,2,555,0.669,530,operational,288,operational,CARD_BLOCKED,0.304,0.666,8847.88,0,1,card_blocked,0
TXN100006,2026-03-26 12:23:29,2298.48,credit_card,36,346,1,531,0.688,239,operational,7622,degraded,ISSUER_DOWN,0.496,0.793,10138.44,0,1,issuer_bank_down,0
TXN100007,2026-01-07 14:21:04,3007.26,debit_card,472,798,1,2216,0.715,846,operational,6653,down,ISSUER_DOWN,0.229,0.576,2166.06,1,1,issuer_bank_down,1
TXN100008,2026-05-07 07:46:54,796.2,debit_card,1540,665,3,1240,0.82,614,operational,235,operational,INSUFFICIENT_FUNDS,0.18,0.215,16492.61,2,1,insufficient_funds,0
TXN100009,2026-02-24 16:24:50,1512.42,credit_card,133,306,0,1407,0.928,9182,degraded,484,degraded,BANK_TIMEOUT,0.659,0.684,5917.26,0,1,bank_server_timeout,1
TXN100010,2026-03-11 00:37:59,833.81,debit_card,1563,-836,2,2452,0.495,508,operational,150,operational,CARD_EXPIRED,0.135,0.557,7654.68,0,1,expired_card,1
TXN100011,2026-01-29 06:49:43,1475.08,debit_card,2173,988,0,1741,0.831,207,operational,244,operational,RISK_BLOCK,0.625,0.712,5069.61,0,1,risk_fraud_block,0
TXN100012,2026-03-07 16:43:18,1598.43,credit_card,2487,1020,0,1618,0.847,409,operational,376,operational,OTP_CVV_MISMATCH,0.292,0.342,1934.47,1,0,otp_cvv_mismatch,0
TXN100013,2026-03-13 05:48:22,11382.66,debit_card,2430,1090,0,569,0.63,183,operational,176,operational,LIMIT_EXCEEDED,0.285,0.659,5914.02,1,1,transaction_limit_exceeded,0
TXN100014,2026-02-10 11:48:15,1388.74,credit_card,742,458,3,883,0.985,6937,operational,574,operational,BANK_TIMEOUT,0.2,0.677,2442.82,0,1,bank_server_timeout,0
TXN100015,2026-06-26 06:46:30,214.85,debit_card,1624,853,1,169,0.847,599,degraded,419,operational,INSUFFICIENT_FUNDS,0.059,0.136,3227.16,2,1,insufficient_funds,1
TXN100016,2026-02-20 08:46:50,7263.62,credit_card,144,713,0,1299,0.898,282,operational,568,operational,OTP_CVV_MISMATCH,0.138,0.742,3820.64,1,0,otp_cvv_mismatch,0
TXN100017,2026-02-02 14:13:41,2820.87,credit_card,618,341,3,688,0.633,376,operational,800,operational,INSUFFICIENT_FUNDS,0.307,0.062,4774.66,0,1,insufficient_funds,1
TXN100018,2026-04-09 16:15:04,1578.98,debit_card,1955,1114,1,1100,0.802,196,operational,343,degraded,LIMIT_FAILURE,0.312,0.702,1238.61,1,1,transaction_limit_exceeded,1
